time_stamp,count_samples_VV_inc30,sigma0_db_102_VV_inc30,stdev_sigma0_db_102_VV_inc30,sigma0_db_133_VV_inc30,stdev_sigma0_db_133_VV_inc30,sigma0_db_167_VV_inc30,stdev_sigma0_db_167_VV_inc30,count_samples_VH_inc30,sigma0_db_102_VH_inc30,stdev_sigma0_db_102_VH_inc30,sigma0_db_133_VH_inc30,stdev_sigma0_db_133_VH_inc30,sigma0_db_167_VH_inc30,stdev_sigma0_db_167_VH_inc30,count_samples_HV_inc30,sigma0_db_102_HV_inc30,stdev_sigma0_db_102_HV_inc30,sigma0_db_133_HV_inc30,stdev_sigma0_db_133_HV_inc30,sigma0_db_167_HV_inc30,stdev_sigma0_db_167_HV_inc30,count_samples_HH_inc30,sigma0_db_102_HH_inc30,stdev_sigma0_db_102_HH_inc30,sigma0_db_133_HH_inc30,stdev_sigma0_db_133_HH_inc30,sigma0_db_167_HH_inc30,stdev_sigma0_db_167_HH_inc30,count_samples_VV_inc40,sigma0_db_102_VV_inc40,stdev_sigma0_db_102_VV_inc40,sigma0_db_133_VV_inc40,stdev_sigma0_db_133_VV_inc40,sigma0_db_167_VV_inc40,stdev_sigma0_db_167_VV_inc40,count_samples_VH_inc40,sigma0_db_102_VH_inc40,stdev_sigma0_db_102_VH_inc40,sigma0_db_133_VH_inc40,stdev_sigma0_db_133_VH_inc40,sigma0_db_167_VH_inc40,stdev_sigma0_db_167_VH_inc40,count_samples_HV_inc40,sigma0_db_102_HV_inc40,stdev_sigma0_db_102_HV_inc40,sigma0_db_133_HV_inc40,stdev_sigma0_db_133_HV_inc40,sigma0_db_167_HV_inc40,stdev_sigma0_db_167_HV_inc40,count_samples_HH_inc40,sigma0_db_102_HH_inc40,stdev_sigma0_db_102_HH_inc40,sigma0_db_133_HH_inc40,stdev_sigma0_db_133_HH_inc40,sigma0_db_167_HH_inc40,stdev_sigma0_db_167_HH_inc40,count_samples_VV_inc50,sigma0_db_102_VV_inc50,stdev_sigma0_db_102_VV_inc50,sigma0_db_133_VV_inc50,stdev_sigma0_db_133_VV_inc50,sigma0_db_167_VV_inc50,stdev_sigma0_db_167_VV_inc50,count_samples_VH_inc50,sigma0_db_102_VH_inc50,stdev_sigma0_db_102_VH_inc50,sigma0_db_133_VH_inc50,stdev_sigma0_db_133_VH_inc50,sigma0_db_167_VH_inc50,stdev_sigma0_db_167_VH_inc50,count_samples_HV_inc50,sigma0_db_102_HV_inc50,stdev_sigma0_db_102_HV_inc50,sigma0_db_133_HV_inc50,stdev_sigma0_db_133_HV_inc50,sigma0_db_167_HV_inc50,stdev_sigma0_db_167_HV_inc50,count_samples_HH_inc50,sigma0_db_102_HH_inc50,stdev_sigma0_db_102_HH_inc50,sigma0_db_133_HH_inc50,stdev_sigma0_db_133_HH_inc50,sigma0_db_167_HH_inc50,stdev_sigma0_db_167_HH_inc50,count_samples_VV_inc60,sigma0_db_102_VV_inc60,stdev_sigma0_db_102_VV_inc60,sigma0_db_133_VV_inc60,stdev_sigma0_db_133_VV_inc60,sigma0_db_167_VV_inc60,stdev_sigma0_db_167_VV_inc60,count_samples_VH_inc60,sigma0_db_102_VH_inc60,stdev_sigma0_db_102_VH_inc60,sigma0_db_133_VH_inc60,stdev_sigma0_db_133_VH_inc60,sigma0_db_167_VH_inc60,stdev_sigma0_db_167_VH_inc60,count_samples_HV_inc60,sigma0_db_102_HV_inc60,stdev_sigma0_db_102_HV_inc60,sigma0_db_133_HV_inc60,stdev_sigma0_db_133_HV_inc60,sigma0_db_167_HV_inc60,stdev_sigma0_db_167_HV_inc60,count_samples_HH_inc60,sigma0_db_102_HH_inc60,stdev_sigma0_db_102_HH_inc60,sigma0_db_133_HH_inc60,stdev_sigma0_db_133_HH_inc60,sigma0_db_167_HH_inc60,stdev_sigma0_db_167_HH_inc60
2011/07/07 02:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/07 06:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/07 10:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/07 14:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/07 18:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/07 22:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/08 02:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/08 06:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/08 10:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/08 14:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/08 18:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/08 22:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/09 02:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/09 06:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/09 10:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/09 14:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/09 18:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/09 22:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/10 02:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/10 06:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/10 10:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/10 14:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/10 18:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/10 22:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/11 02:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/11 06:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/11 10:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/11 14:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/11 18:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
2011/07/11 22:00:00,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,15,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999,17,99999,99999,99999,99999,99999,99999
